time,source,match_tier,score,title,company,location,description,link
2026-08-29T02:21:08.840347Z,biospace:toxicology,strong,76,Sr. Scientist  Toxicology,Legend Biotech,Somerset  New Jersey  US,Legend Biotech is a global biotechnology company dedicated to treating and  one day  curing life-threatening diseases. Headquartered in Bridgewater  New Jersey  we are advancing the next generation of cell therapy through a portfolio of innovative technologies  including autologous  allogeneic  and in vivo cell therapy approaches. Our research spans chimeric antigen receptor T-cell (CAR-T)  T-cell receptor (TCR-T)  natural killer (NK) cell-based therapies  and other emerging platforms designed to transform the treatment of serious diseases. From our global network of research and development sites  we are committed to discovering and developing safe  effective  and cutting-edge therapies for patients worldwide. Legend Biotech entered into a global collaboration agreement with Johnson &amp; Johnson to jointly develop and commercialize CARVYKTI® (ciltacabtagene autoleucel; cilta-cel). Through this strategic partnership  we combine complementary expertise and capabilities to advance innovative immunotherapies for patients living with multiple myeloma. Legend Biotech is seeking a Sr. Scientist  Toxicology as part of the Early Drug Development team based in Somerset  NJ or Philadelphia  PA . Role Overview Legend Biotech is seeking a Sr. Scientist  Toxicology to support nonclinical development and safety assessment across cell and gene therapy programs. This individual will contribute to nonclinical strategy from discovery through IND-enabling development and support regulatory sub,https://jobs.biospace.com/job/3068801/sr-scientist-toxicology/
2026-08-29T02:21:08.840347Z,biospace:toxicology,strong,76,Distinguished Scientist  Safety Assessment Project Expert,Sanofi,Cambridge  Massachusetts  US,Our Team: The candidate will be part of a dynamic interactive Preclinical Safety group that spans all aspects of the drug development value chain providing toxicology and safety pharmacology expertise as a member of global project teams. Given the activities performed by the group  internal (within Preclinical Safety and with other project functions) and external (collaboration partners) interactions occur on a daily basis making for a diverse work environment. You will Be exposed to all aspects of the drug development chain Have diverse opportunities to provide toxicology scientific input and apply those expertise Be recognized by Management and Project Teams for successes Receive excellent benefits and compensation. As an overview  the incumbent will be responsible for oversight of the nonclinical safety program of Research and Development drug candidates. These activities entail formulating the nonclinical safety strategies  designing safety pharmacology and toxicology studies  authoring regulatory documents  being a member of an integrated Project Team  interacting with internal and external partners  and interacting with and responding to global regulatory agencies. In addition  you will review compounds for potential in-licensing opportunities and address nonclinical safety issues/risks for marketed products as other activities. We are an innovative global healthcare company with one purpose: to chase the miracles of science to improve peoples lives. Are you ready to sh,https://jobs.biospace.com/job/3069302/distinguished-scientist-safety-assessment-project-expert/
2026-08-29T02:21:08.840347Z,biospace:toxicology,borderline,66,Senior Toxicologist,Regeneron Pharmaceuticals  Inc.,Cambridge  Massachusetts  US,The Senior Toxicologist utilizes their scientific expertise and regulatory experience to lead nonclinical development programs with guidance from her/his direct supervisor working effectively within cross-functional project teams. The Sr. Toxicologist will demonstrate a thorough understanding of GLP regulations and FDA/EMEA/ICH nonclinical safety guidelines to independently lead the design  conduct  interpretation  and reporting of regulatory toxicology and/or exploratory pharmacology/toxicology studies in rodent and non-rodent safety models. The Sr. Toxicologist will provide primary authorship of all regulatory documentation required for submission packages  demonstrating excellent problem solving and communication skills (written and verbal). Experience with multiple therapeutic modalities preferred  including antibody  oligonucleotide  and genetherapy products. JOB RESPONSIBILITIES: Represent toxicology on global research and development project teams communicating non-clinical safety assessment strategy. Coordinate cross-department execution of the experimental plan including program budgets  and timing of toxicology studies in relation to regulatory and clinical milestones. Work with study monitoring group to coordinate  design  monitor  and report toxicology and safety pharmacology studies at contract research organizations. Communicate toxicology study findings  including relevant interpretation  to project teams and management. Contributing to non-clinical sections of,https://jobs.biospace.com/job/3068491/senior-toxicologist/
2026-08-29T02:21:08.840347Z,biospace:toxicology,borderline,56,Associate Director  Clinical Pathologist,Regeneron Pharmaceuticals  Inc.,Tarrytown  New York  US,Associate Director of Pathology has primary responsibility to support drug molecule efficacy and safety studies in a variety of therapeutic focus areas (TFAs). The successful candidate will also provide Clinical Pathology support for GLP toxicology and PK studies of Regeneron molecules. The Associate Director will be expected to manage Clinical Pathology support to selected TFAs  and mentor junior Pathologists. A Typical day in this role may look like: Serve as a scientific leader supporting nonclinical drug development across multiple therapeutic areas. Work both independently and as a part of integrated discovery and development teams to interpret pharmacologic and toxicity related findings and help advance promising therapeutics through Regenerons pipeline. Determining and evaluating clinical pathology-related endpoints in pharmacology and toxicology studies and guiding decision making. Collaborate closely with anatomic pathologists  toxicologists  and researchers within Regeneron. Partner with our CRO partners in providing scientific peer review of nonclinical safety studies. This job might be for you if you have: Experience with integrating clinical and anatomic pathology data Experience with animal models of human diseases Clear  concise oral and written communication skills Demonstrated ability to contribute to cross functional teams Ability to contribute to scientific strategy  problem solving  and the broader understanding of pathology-related issues that influence d,https://jobs.biospace.com/job/3069418/associate-director-clinical-pathologist/
2026-08-29T02:21:08.840347Z,biospace:nonclinical safety,borderline,56,Head of Regeneron Cell Medicines,Regeneron Pharmaceuticals  Inc.,Cambridge  Massachusetts  US,Head of Regeneron Cell Medicines Location: Cambridge  MA (primary site) The Head of Regeneron Cell Medicines (RCM) sets the vision  strategy  and execution for Regenerons cell medicines portfolio and technology platform. Scope includes ex vivo and in vivo CAR T programs and enabling technologies for delivery  including chemo-free conditioning. This leader oversees cross-functional initiatives from discovery through early clinical development  builds and mentors high-performing teams  and partners across the enterprise and with external collaborators to deliver transformative cell-based therapies. Based in Cambridge  MA  this role serves as the sites senior scientific executive and advances the RCM portfolio in alignment with Regenerons broader scientific vision. In This Role  You Will: Strategy and Portfolio Leadership Define and drive the long-term scientific vision and portfolio strategy for ex vivo and in vivo cell medicines  aligned to enterprise priorities. Prioritize programs and platform investments using data-driven governance  scenario planning  and risk/benefit frameworks. Champion innovation in cell engineering  in vivo delivery (e.g.  LNPs  viral vectors)  and manufacturing to create differentiated therapies. Establish and evolve the CAR T strategy  including target selection  tissue/cell targeting  potency enhancement  and combinations with antibody-based approaches. Scientific Program Oversight Lead matrixed teams to deliver milestones from target validation to ,https://jobs.biospace.com/job/3065020/head-of-regeneron-cell-medicines/
2026-08-29T02:21:08.840347Z,biospace:safety assessment,borderline,50,Director  Global Patient Safety Sciences - General Medicine,Regeneron Pharmaceuticals  Inc.,Tarrytown  New York  US,Build our future together: At Regeneron  we use science and innovation to develop life-changing medicines for people with serious diseases. We are seeking a Director to join our Patient Safety team. The Global Patient Safety (GPS) Lead role (Director of GPS) serves as the first point of contact (POC) for all safety related issues for the compound(s)/asset(s) assigned within a given therapeutic area (TA)  and is the GPS representative on the cross functional strategic program team (SPT) for the compound. The GPS Lead leads the safety strategy and ensures the optimal support from within GPS and works collaboratively with stakeholders to deliver the safety strategy. This position requires the ability to work with and influence colleagues in a matrix environment within and external to GPS including senior management. The GPS Director joins Regenerons industry leading scientific organization  and has a direct impact on drug development  operations  and commercialization in all relevant global territories. This position offers the opportunity to contribute to a fast-growing  science-driven organization making a meaningful difference to patients worldwide. When &amp; where: Work Location: Tarrytown  NY or Warren  NJ 4 days per week on site Discover your role: This Director position is directly responsible for all aspects of Global Patient Safety activities for assigned compounds and products in support of safety surveillance  signal management  communication of the safety profile as,https://jobs.biospace.com/job/3068983/director-global-patient-safety-sciences-general-medicine/
2026-08-29T02:21:08.840347Z,biospace:nonclinical development,borderline,56,Associate Director-Medical Writer,Eli Lilly and Company,Boston  Massachusetts  US,At Lilly  the work is demanding because patients are waiting. We unite caring with discovery to help make life better for people around the world  knowing that every decision  every detail  and every day matters. Headquartered in Indianapolis  Indiana  our over 50 000 employees around the globe take on complex challenges to discover and deliver life-changing medicines  strengthen how health is understood and managed  and support the communities we serve. This is hard  urgent  selfless work—but it’s work worth doing. If you’re driven by purpose and ready to bring your best to work that truly matters for patients  we invite you to join us. Verve Therapeutics  a Lilly Research Labs subsidiary  is a clinical-stage genetic medicines company on a mission to solve cardiovascular disease. Founded by leaders in cardiovascular medicine and gene editing  Verve is developing one-time gene editing treatments aimed at turning chronic management into a single-course cure. Its lead programs target PCSK9 and ANGPTL3 to lower LDL-C  the root cause of cardiovascular disease. The Associate Director-Medical Writer will be responsible for leading and driving the development of high-quality scientific and clinical documents for regulatory submissions and internal communications  ensuring accuracy  clarity  and adherence to company standards and regulatory guidelines. Job Responsibilities Lead the planning  authoring  and review of complex clinical and regulatory documents  including but not limited,https://jobs.biospace.com/job/3065493/associate-director-medical-writer/
2026-08-29T02:21:08.840347Z,biospace:investigative toxicology,borderline,56,Senior Director - (Medical/M.D.) - ExploR&D Translational Medicine,Eli Lilly and Company,Boston  Massachusetts  US,At Lilly  the work is demanding because patients are waiting. We unite caring with discovery to help make life better for people around the world  knowing that every decision  every detail  and every day matters. Headquartered in Indianapolis  Indiana  our over 50 000 employees around the globe take on complex challenges to discover and deliver life-changing medicines  strengthen how health is understood and managed  and support the communities we serve. This is hard  urgent  selfless work—but it’s work worth doing. If you’re driven by purpose and ready to bring your best to work that truly matters for patients  we invite you to join us. Organizational Overview: ExploR&amp;D  a Division of Lilly Research Laboratories  is a drug development organization with a mission to catalyze the biotechnology ecosystem. As a multidisciplinary team of highly experienced drug developers  we seek to advance investigational medicines for external sponsors with speed and efficiency. ExploR&amp;D (operating as Chorus since 2002) has supported over 90 development programs throughout North America  Europe  and Asia. We are therapeutic area and modality agnostic  and seek to advance breakthrough science and create value for our partners and patients. Purpose of the Role: The Senior/Executive Director [commensurate with experience]  ExploR&amp;D Translational Medicine incumbent is responsible for the overarching medical strategy and medical oversight for multiple assets in the ExploR&amp;D portfoli,https://jobs.biospace.com/job/3069874/senior-director-medical-m-d-explor-and-d-translational-medicine/
2026-08-29T02:21:08.840347Z,biospace:investigative toxicology,borderline,50,Director - In Vitro Pharmacology,Eli Lilly and Company,Boston  Massachusetts  US,At Lilly  the work is demanding because patients are waiting. We unite caring with discovery to help make life better for people around the world  knowing that every decision  every detail  and every day matters. Headquartered in Indianapolis  Indiana  our over 50 000 employees around the globe take on complex challenges to discover and deliver life-changing medicines  strengthen how health is understood and managed  and support the communities we serve. This is hard  urgent  selfless work—but it’s work worth doing. If you’re driven by purpose and ready to bring your best to work that truly matters for patients  we invite you to join us. Position Overview We are excited to invite a passionate scientific leader to join our Neuroscience Next Generation Therapeutics (NGTx) team as Director of In Vitro Pharmacology. If you're driven by discovery and eager to make a profound impact on the future of neuroscience  this is your opportunity to lead breakthrough innovation and shape the next chapter in life-changing medicines. Located at Lilly's brand-new Boston Seaport Innovation Center  our dynamic team is dedicated to advancing innovative therapeutic modalities to deliver medicines for patients with neurodegenerative and chronic pain disorders. In this pivotal role  you will build and lead the in vitro engine of our discovery pipeline and direct a multidisciplinary team of scientists. You will direct the design and application of iPSC-derived and primary cellular systems  engineer d,https://jobs.biospace.com/job/3068521/director-in-vitro-pharmacology/
2026-08-29T02:21:08.840347Z,amgen:toxicology,borderline,50,Senior Principal Scientist,Amgen,Thousand Oaks  California  United States of America,Join Amgen’s Mission of Serving Patients At Amgen  if you feel like you’re part of something bigger  it’s because you are. Our shared mission—to serve patients living with serious illnesses—drives all that we do. Since 1980  we’ve helped pioneer the world of biotech in our fight against the world’s toughest diseases. With our focus on four therapeutic areas –Oncology  Inflammation  General Medicine  and Rare Disease– we reach millions of patients each year. Amgen is advancing a broad and deep pipeline of medicines to treat cancer  heart disease  inflammatory conditions  rare diseases  and obesity and obesity-related conditions. As a member of the Amgen team  you’ll help make a lasting impact on the lives of patients as we research  manufacture  and deliver innovative medicines to help people live longer  fuller happier lives. Our award-winning culture is collaborative  innovative  and science based. If you have a passion for challenges and the opportunities that lay within them  you’ll thrive as part of the Amgen team. Join us and transform the lives of patients while transforming your career. Senior Principal Scientist What you will do Let’s do this. Let’s change the world! We are seeking an experienced toxicologist in the Product Stewardship group within our Environment  Health  Safety and Sustainability (EHSS) organization. This position has a broad reach and supports: • bringing new drugs to market  and • ensuring patient and staff safety In this role you will mature core,https://careers.amgen.com/en/job/thousand-oaks/senior-principal-scientist/87/98720426512
